serial	tag_date	user_token	tag	from_type	origin	origin_desc	tag_freq	last_at	created_at	updated_at
NULL	2021-12-19	U00366e79cdd7703613d47100c0dfa0c9	E2110鬼滅之刃特別餐點	3	event	keyword	1	2021-12-18 17:52:59	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U00c1a01121a7561f8fe0a3342f5d1f9c	E202112筷吃丸亀日	3	event	keyword	1	2021-12-18 11:30:35	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U0138faa721384176b6a40602bc2b9960	D剝皮辣椒雞肉烏龍麵	3	event	keyword	1	2021-12-18 14:07:21	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U0138faa721384176b6a40602bc2b9960	E202112筷吃丸亀日	3	event	keyword	1	2021-12-18 14:06:46	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U0138faa721384176b6a40602bc2b9960	F菜單查詢2005	3	event	keyword	1	2021-12-18 14:07:00	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U0138faa721384176b6a40602bc2b9960	I觸發我的優惠禮物盒	3	event	keyword	1	2021-12-18 14:07:13	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U0138faa721384176b6a40602bc2b9960	I豆皮蝦211213	3	event	keyword	1	2021-12-18 14:07:18	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U02ad18bf5e65ab85047f14d3c64012f1	E202112筷吃丸亀日	3	event	keyword	1	2021-12-18 13:19:28	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U02b5f659c2fc616464c4a6b52aba753c	E2110鬼滅之刃特別餐點	3	event	keyword	1	2021-12-18 13:00:58	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U02f696be73dd5bb462fcb80c09abba53	D剝皮辣椒雞肉烏龍麵	3	event	keyword	1	2021-12-18 13:04:32	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U02f696be73dd5bb462fcb80c09abba53	E2110鬼滅之刃特別餐點	3	event	keyword	1	2021-12-18 13:06:11	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U02f696be73dd5bb462fcb80c09abba53	F菜單查詢2005	3	event	keyword	1	2021-12-18 13:08:51	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U02f696be73dd5bb462fcb80c09abba53	I觸發我的優惠禮物盒	3	event	keyword	1	2021-12-18 13:06:25	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U02f696be73dd5bb462fcb80c09abba53	I豆皮蝦211213	3	event	keyword	1	2021-12-18 13:06:33	2021-12-19 02:27:38	2021-12-19 02:27:38
NULL	2021-12-19	U039939d9d60903c0d008e943453b9c2a	E202112筷吃丸亀日	3	event	keyword	1	2021-12-18 11:38:52	2021-12-19 02:27:38	2021-12-19 02:27:38
